id,date,store_nbr,family,sales,onpromotion,dcoilwtico
1452,2013-01-01,5,AUTOMOTIVE,0.0,0,
1453,2013-01-01,5,BABY CARE,0.0,0,
1454,2013-01-01,5,BEAUTY,0.0,0,
1455,2013-01-01,5,BEVERAGES,0.0,0,
1456,2013-01-01,5,BOOKS,0.0,0,
1457,2013-01-01,5,BREAD/BAKERY,0.0,0,
1458,2013-01-01,5,CELEBRATION,0.0,0,
1459,2013-01-01,5,CLEANING,0.0,0,
1460,2013-01-01,5,DAIRY,0.0,0,
1461,2013-01-01,5,DELI,0.0,0,
1462,2013-01-01,5,EGGS,0.0,0,
1463,2013-01-01,5,FROZEN FOODS,0.0,0,
1464,2013-01-01,5,GROCERY I,0.0,0,
1465,2013-01-01,5,GROCERY II,0.0,0,
1466,2013-01-01,5,HARDWARE,0.0,0,
1467,2013-01-01,5,HOME AND KITCHEN I,0.0,0,
1468,2013-01-01,5,HOME AND KITCHEN II,0.0,0,
1469,2013-01-01,5,HOME APPLIANCES,0.0,0,
1470,2013-01-01,5,HOME CARE,0.0,0,
1471,2013-01-01,5,LADIESWEAR,0.0,0,
1472,2013-01-01,5,LAWN AND GARDEN,0.0,0,
1473,2013-01-01,5,LINGERIE,0.0,0,
1474,2013-01-01,5,"LIQUOR,WINE,BEER",0.0,0,
1475,2013-01-01,5,MAGAZINES,0.0,0,
1476,2013-01-01,5,MEATS,0.0,0,
1477,2013-01-01,5,PERSONAL CARE,0.0,0,
1478,2013-01-01,5,PET SUPPLIES,0.0,0,
1479,2013-01-01,5,PLAYERS AND ELECTRONICS,0.0,0,
1480,2013-01-01,5,POULTRY,0.0,0,
1481,2013-01-01,5,PREPARED FOODS,0.0,0,
1482,2013-01-01,5,PRODUCE,0.0,0,
1483,2013-01-01,5,SCHOOL AND OFFICE SUPPLIES,0.0,0,
1484,2013-01-01,5,SEAFOOD,0.0,0,
3234,2013-01-02,5,AUTOMOTIVE,6.0,0,93.14
3235,2013-01-02,5,BABY CARE,0.0,0,93.14
3236,2013-01-02,5,BEAUTY,7.0,0,93.14
3237,2013-01-02,5,BEVERAGES,947.0,0,93.14
3238,2013-01-02,5,BOOKS,0.0,0,93.14
3239,2013-01-02,5,BREAD/BAKERY,566.917,0,93.14
3240,2013-01-02,5,CELEBRATION,0.0,0,93.14
3241,2013-01-02,5,CLEANING,1810.0,0,93.14
3242,2013-01-02,5,DAIRY,414.0,0,93.14
3243,2013-01-02,5,DELI,381.477,0,93.14
